,rg_e,rg_er,rg_bar_er
results_frontal_lateral_clahe_oversample_encoder_decoder.csv,0.27421027308539986,0.25445898720012067,0.18798635805681077
results_frontal_lateral_no_clahe_no_oversample_encoder_decoder.csv,0.3214193013689878,0.3041624184064616,0.22750887740660455
results_frontal_no_clahe_no_oversample_encoder_decoder.csv,0.3006355806328105,0.28238778124964053,0.21279806858219807
results_frontal_lateral_no_clahe_oversample_encoder_decoder.csv,0.3103788630312289,0.2890764331025864,0.22238947952707672
results_frontal_no_clahe_no_oversample_encoder.csv,0.2952308817078115,0.2765932347991448,0.2081489661664947
results_frontal_lateral_clahe_no_oversample_encoder.csv,0.3048384829485215,0.28752687358949475,0.21648881872675937
results_frontal_clahe_no_oversample_encoder.csv,0.29822435295228683,0.28213776489148173,0.21539817724063912
results_frontal_lateral_no_clahe_no_oversample_encoder.csv,0.31096122550315086,0.2912377460543996,0.2198734303787642
results_baseline_frontal.csv,0.15746872169044332,0.14083425689293697,0.08970684627458479
results_baseline_frontal_lateral.csv,0.15851128624602687,0.14218384492595124,0.08860462407100735
